author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;house_number;underground
ID 65195800;unknown;https://spb.cian.ru/rent/flat/295610914/;Санкт-Петербург;rent;flat;19;23;1;36.1;803;29000;0;Невский; Коллонтай;31к2;Проспект Большевиков
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/293814330/;Санкт-Петербург;rent;flat;5;9;2;54.0;1574;85000;0;Центральный;Лиговский проспект;123;Лиговский проспект
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294994687/;Санкт-Петербург;rent;flat;5;10;1;33.5;1940;65000;0;Красногвардейский;Пискаревский проспект;1;Площадь Ленина
Ваш Выбор Санкт-Петербург;real_estate_agent;https://spb.cian.ru/rent/flat/295398011/;Санкт-Петербург;rent;flat;1;3;2;42.1;475;20000;0;Петродворцовый;Владимирская ;26;Автово
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/294825629/;Санкт-Петербург;rent;flat;3;6;3;100.0;2500;250000;0;Центральный;Большая Конюшенная ;3;Гостиный двор
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/294319244/;Санкт-Петербург;rent;flat;2;6;1;26.0;2500;65000;0;Василеостровский;переулок Тучков;11/5;Василеостровская
Русский Фонд Недвижимости;real_estate_agent;https://spb.cian.ru/rent/flat/294885403/;Санкт-Петербург;rent;flat;3;6;1;26.0;961;25000;0;Московский;Пулковское шоссе;71к16;Звездная
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/287545080/;Санкт-Петербург;rent;flat;3;8;1;27.0;1962;53000;0;Центральный;Днепропетровская ;37;Обводный канал
Soft House Estate;real_estate_agent;https://spb.cian.ru/rent/flat/293949060/;Санкт-Петербург;rent;flat;8;10;3;87.0;1609;140000;0;Адмиралтейский; Парфеновская;9к1;Фрунзенская
Хозяин Сервис;real_estate_agent;https://spb.cian.ru/rent/flat/295507241/;Санкт-Петербург;rent;flat;4;5;1;31.0;732;22700;0;Московский;Витебский проспект;61К3;
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295396274/;Санкт-Петербург;rent;flat;22;22;3;80.0;1125;90000;0;Приморский;Лыжный переулок;4к3;Беговая
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294904696/;Санкт-Петербург;rent;flat;2;12;4;156.0;641;100000;0;Красногвардейский;Малоохтинский проспект;16к1;Новочеркасская
Правильный Выбор;real_estate_agent;https://spb.cian.ru/rent/flat/294897400/;Санкт-Петербург;rent;flat;1;6;1;33.0;666;22000;0;Московский;Пулковское шоссе;73к6;Звездная
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/291060414/;Санкт-Петербург;rent;flat;7;11;1;29.0;1275;37000;0;Выборгский;Политехническая ;6;Площадь Мужества
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/291404072/;Санкт-Петербург;rent;flat;1;5;3;120.0;1333;160000;0;Курортный; Максима Горького;2Ас2;Беговая
Александр Лямин;realtor;https://spb.cian.ru/rent/flat/295895959/;Санкт-Петербург;rent;flat;3;8;2;49.0;714;35000;0;Московский;Московский проспект;186;Электросила
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295292312/;Санкт-Петербург;rent;flat;2;2;4;150.0;833;125000;0;Адмиралтейский; Егорова;11;Технологический институт
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295747406/;Санкт-Петербург;rent;flat;7;10;1;33.0;909;30000;0;Красносельский;проспект Ветеранов;169к6;
Панорама;real_estate_agent;https://spb.cian.ru/rent/flat/295476493/;Санкт-Петербург;rent;flat;23;27;1;34.0;764;26000;0;Выборгский;проезд Толубеевский;14к1;Парнас
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295728696/;Санкт-Петербург;rent;flat;2;4;2;47.2;1483;70000;0;Адмиралтейский;набережная Реки Мойки;60;Адмиралтейская
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295534492/;Санкт-Петербург;rent;flat;12;12;2;52.0;865;45000;0;Приморский; Савушкина;109К1;Старая Деревня
ID 22472092;homeowner;https://spb.cian.ru/rent/flat/258648212/;Санкт-Петербург;rent;flat;6;8;1;33.86;886;30000;0;Курортный;Садовая ;88;
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295621513/;Санкт-Петербург;rent;flat;2;3;2;85.0;1411;120000;0;Приморский; Новая;27к1;Беговая
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295861156/;Санкт-Петербург;rent;flat;7;23;1;38.0;1184;45000;0;Московский; Среднерогатская;8к1;Звездная
Адвекс;real_estate_agent;https://spb.cian.ru/rent/flat/295221545/;Санкт-Петербург;rent;flat;7;12;1;34.0;647;22000;0;Колпинский; Севастьянова;30к1;
Stanley Realty;real_estate_agent;https://spb.cian.ru/rent/flat/293983422/;Санкт-Петербург;rent;flat;2;6;4;200.0;550;110000;0;Центральный;Большая Московская ;8/2;Владимирская
